Sale_Date,Company,Brand,Model,Production_Year,Country,Fuel_Type,Engine_Volume,Transmission,Drive_Type,Region,Area,Dealer_Center,Segment_2013,Class_2013,Quantity,Price_USD,Total_Price_USD
2019-08-31,Автоцентр-Бавария,BMW,X1,2019,DEU,F,1.5,Автомат,FWD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Компактные SUV,1.0,28933.91259,28933.91259
2019-09-30,Автоцентр-Бавария,BMW,X1,2019,DEU,F,1.5,Автомат,FWD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Компактные SUV,1.0,28906.92213,28906.92213
2019-09-30,Автоцентр-Бавария,BMW,X1,2019,DEU,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Компактные SUV,1.0,35491.89667,35491.89667
2019-09-30,Автоцентр-Бавария,BMW,X1,2019,DEU,F,1.5,Автомат,FWD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Компактные SUV,1.0,28906.92213,28906.92213
2019-01-31,Автоцентр-Бавария,BMW,X3,2018,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,44769.88446,44769.88446
2019-01-31,Автоцентр-Бавария,BMW,X3,2018,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,40583.60955,40583.60955
2019-01-31,Автоцентр-Бавария,BMW,X3,2018,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,1.0,44769.88446,44769.88446
2019-01-31,Автоцентр-Бавария,BMW,X3,2018,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,1.0,40583.60955,40583.60955
2019-02-28,Автоцентр-Бавария,BMW,X3,2018,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,3.0,40638.62204,121915.8661
2019-02-28,Автоцентр-Бавария,BMW,X3,2018,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,4.0,40638.62204,162554.4882
2019-02-28,Автоцентр-Бавария,BMW,X3,2018,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,4.0,44830.57159,179322.2864
2019-03-31,Автоцентр-Бавария,BMW,X3,2018,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,44933.687,44933.687
2019-03-31,Автоцентр-Бавария,BMW,X3,2018,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,1.0,40732.09549,40732.09549
2019-04-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Уральск,Западно-казахстанская Область,ЖАЙЫК HYUNDAI MOTORS,Внедорожники,Среднеразмерные SUV,1.0,44632.15359,44632.15359
2019-04-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Усть-каменогорск,Восточно-казахстанская Область,Автоцентр Бавария Восток,Внедорожники,Среднеразмерные SUV,2.0,40458.75741,80917.51483
2019-04-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,2.0,44632.15359,89264.30719
2019-04-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,2.0,40458.75741,80917.51483
2019-04-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,2.0,44632.15359,89264.30719
2019-04-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,3.0,40458.75741,121376.2722
2019-05-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Уральск,Западно-казахстанская Область,ЖАЙЫК HYUNDAI MOTORS,Внедорожники,Среднеразмерные SUV,1.0,43994.18357,43994.18357
2019-05-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Уральск,Западно-казахстанская Область,ЖАЙЫК HYUNDAI MOTORS,Внедорожники,Среднеразмерные SUV,1.0,39901.70138,39901.70138
2019-05-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Усть-каменогорск,Восточно-казахстанская Область,Автоцентр Бавария Восток,Внедорожники,Среднеразмерные SUV,1.0,39901.70138,39901.70138
2019-05-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,2.0,43994.18357,87988.36715
2019-05-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,3.0,39901.70138,119705.1041
2019-05-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,2.0,39901.70138,79803.40276
2019-06-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Усть-каменогорск,Восточно-казахстанская Область,Автоцентр Бавария Восток,Внедорожники,Среднеразмерные SUV,2.0,39692.40515,79384.8103
2019-06-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,39692.40515,39692.40515
2019-06-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,1.0,43763.42106,43763.42106
2019-06-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,2.0,39692.40515,79384.8103
2019-07-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Усть-каменогорск,Восточно-казахстанская Область,Автоцентр Бавария Восток,Внедорожники,Среднеразмерные SUV,2.0,39509.80392,79019.60784
2019-07-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,39509.80392,39509.80392
2019-07-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,1.0,43562.0915,43562.0915
2019-07-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,2.0,39509.80392,79019.60784
2019-08-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Усть-каменогорск,Восточно-казахстанская Область,Автоцентр Бавария Восток,Внедорожники,Среднеразмерные SUV,1.0,39211.59583,39211.59583
2019-08-31,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,39211.59583,39211.59583
2019-09-30,Автоцентр-Бавария,BMW,X3,2019,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,39175.01802,39175.01802
2019-01-31,Автоцентр-Бавария,BMW,X4,2018,USA,F,2.0,Автомат,4WD,Костанай,Костанайская Область,Hyundai Auto Kostanai,Внедорожники,Среднеразмерные SUV,1.0,45351.31154,45351.31154
2019-02-28,Автоцентр-Бавария,BMW,X4,2018,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,45412.78681,45412.78681
2019-02-28,Автоцентр-Бавария,BMW,X4,2018,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,1.0,45412.78681,45412.78681
2019-03-31,Автоцентр-Бавария,BMW,X4,2018,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,45517.24138,45517.24138
2019-04-30,Автоцентр-Бавария,BMW,X4,2019,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,2.0,45211.79195,90423.5839
2019-05-31,Автоцентр-Бавария,BMW,X4,2019,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,48655.06607,48655.06607
2019-05-31,Автоцентр-Бавария,BMW,X4,2019,USA,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Среднеразмерные SUV,1.0,44562.58388,44562.58388
2019-05-31,Автоцентр-Бавария,BMW,X4,2019,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,1.0,44562.58388,44562.58388
2019-06-30,Автоцентр-Бавария,BMW,X4,2019,USA,F,2.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Среднеразмерные SUV,1.0,48399.85585,48399.85585
